Artist Name,Stubhub ID,Year,Month,Date,DayOfWeek,Name,City,State,ZipCode,Cons1,Cons2
311,105175570,2022,3,15,2,JJ's Beer Garden,Fayetteville,AR,72703,0,0
311,105175571,2022,3,18,5,Coffee Butler Amphitheater,Key West,FL,33040,0,0
311,105176478,2022,3,20,7,House of Blues Orlando,Lake Buena Vista,FL,32830,0,0
311,105175590,2022,3,22,2,The Fillmore Charlotte,Charlotte,NC,28202,0,0
311,105176513,2022,3,23,3,The Ritz Raleigh,Raleigh,NC,27609,0,0
311,105176537,2022,3,25,5,The Norva,Norfolk,VA,23510,0,0
311,105176548,2022,3,26,6,House of Blues Myrtle Beach,North Myrtle Beach,SC,29582,0,0
311,105176558,2022,3,28,1,Ryman Auditorium,Nashville,TN,37219,0,0
311,105175679,2022,3,29,2,Mars Music Hall at Von Braun Center,Huntsville,AL,35801,0,0
311,105177455,2022,3,30,3,Fillmore New Orleans,New Orleans,LA,70130,0,0
311,105175596,2022,4,1,5,Majestic Theatre San Antonio,San Antonio,TX,78205,0,0
311,105173950,2022,4,2,6,Concrete Street Amphitheater,Corpus Christi,TX,78401,0,0
311,105177466,2022,4,3,7,Stubbs BarBQ,Austin,TX,78701,0,0
311,105175331,2022,4,5,2,Tulsa Theater,Tulsa,OK,74103,0,0
311,105177490,2022,4,6,3,The Cotillion,Wichita,KS,67209,0,0
311,105220025,2022,5,12,4,Ventura Theatre,Ventura,CA,93001,0,0
311,105218798,2022,5,14,6,Pepsi Amphitheater at Fort Tuthill Park,Flagstaff,AZ,86001,0,0
311,105218789,2022,5,17,2,Riverside Municipal Auditorium,Riverside,CA,92501,0,0
311,105218797,2022,5,18,3,Golden State Theatre,Monterey,CA,93940,0,0
311,105218790,2022,5,20,5,Silver Legacy Casino,Reno,NV,89501,0,0
311,105219430,2022,5,21,6,Revolution Concert House and Event Center,Garden City,ID,83714,0,0
311,105218791,2022,5,22,7,Knitting Factory Concert House Spokane,Spokane,WA,99201,0,0
311,105218796,2022,5,24,2,KettleHouse Amphitheater,Bonner,MT,59823,0,0
311,105219433,2022,5,25,3,The Elm,Bozeman,MT,59715,0,0
311,105219432,2022,5,27,5,Fargo Brewing Company,Fargo,ND,58102,0,0
311,105218794,2022,5,28,6,Earth Rider Brewery Fest Grounds,Superior,WI,54880,0,0
311,105218793,2022,5,29,7,EPIC Event Center,Ashwaubenon,WI,54304,0,0
311,105220026,2022,6,1,3,The Gaslight Social,Casper,WY,82601,0,0
311,105219431,2022,6,2,4,Sandy Amphitheater,Sandy,UT,84070,0,0
311,105218792,2022,6,5,7,Las Colonias Park Amphitheater,Grand Junction,CO,81501,0,0
1964 the Tribute,104947168,2022,3,11,5,Palladium Center For The Performing Arts,Carmel,IN,46032,0,0
1964 the Tribute,105205300,2022,5,7,6,Genesee Theatre,Waukegan,IL,60085,0,0
1964 the Tribute,105208083,2022,8,6,6,Birchmere,Alexandria,VA,22305,0,0
1964 the Tribute,105175283,2022,8,25,4,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
3ICE,105220910,2022,7,9,6,Giant Center,Hershey,PA,17033,0,0
5 Seconds of Summer,104571702,2022,6,14,2,Concord Pavilion,Concord,CA,94521,0,0
5 Seconds of Summer,104571701,2022,6,18,6,FivePoint Amphitheatre,Irvine,CA,92618,0,0
5 Seconds of Summer,104571697,2022,6,20,1,Arizona Federal Theatre,Phoenix,AZ,85003,0,0
5 Seconds of Summer,104571670,2022,6,22,3,Fillmore Auditorium Denver,Denver,CO,80218,0,0
5 Seconds of Summer,104573153,2022,6,25,6,Pavilion at Toyota Music Factory,Irving,TX,75039,0,0
5 Seconds of Summer,104571695,2022,6,26,7,Cynthia Woods Mitchell Pavilion,The Woodlands,TX,77380,0,0
5 Seconds of Summer,104573150,2022,6,30,4,Ascend Amphitheater,Nashville,TN,37201,0,0
5 Seconds of Summer,104571689,2022,7,3,7,Charlotte Metro Credit Union Amphitheatre,Charlotte,NC,28202,0,0
5 Seconds of Summer,104571679,2022,7,5,2,The Anthem,Washington DC,DC,20024,0,0
5 Seconds of Summer,104571680,2022,7,8,5,Mohegan Sun Arena-CT,Uncasville,CT,06382,0,0
5 Seconds of Summer,104573140,2022,7,9,6,Leader Bank Pavilion,Boston,MA,02210,0,0
5 Seconds of Summer,104571683,2022,7,10,7,PNC Bank Arts Center,Holmdel,NJ,07733,0,0
5 Seconds of Summer,104571673,2022,7,15,5,TCU Amphitheater at White River State Park,Indianapolis,IN,46204,0,0
5 Seconds of Summer,104573139,2022,7,16,6,Huntington Bank Pavilion at Northerly Island,Chicago,IL,60605,0,0
5 Seconds of Summer,104573138,2022,7,20,3,Budweiser Stage,Toronto,ON,M6K 3B9,0,0
5 Seconds of Summer,104573137,2022,7,21,4,Freedom Hill Amphitheater,Sterling Heights,MI,48312,0,0
5 Seconds of Summer,104571677,2022,7,23,6,Armory - Minneapolis,Minneapolis,MN,55415,0,0
5 Seconds of Summer,105130090,2022,6,11,6,Doug Mitchell Thunderbird Sports Centre,Vancouver,BC,V6T 1Z3,0,0
5 Seconds of Summer,3794358,2022,6,12,7,WaMu Theater - Seattle,Seattle,WA,98134,0,0
5 Seconds of Summer,3794471,2022,6,17,5,Hollywood Palladium,Los Angeles,CA,90028,0,0
5 Seconds of Summer,105130803,2022,7,6,3,Skyline Stage at the Mann,Philadelphia,PA,19131,0,0
5 Seconds of Summer,105130819,2022,7,12,2,The Rooftop at Pier 17,New York,NY,10038,0,1
5 Seconds of Summer,105130804,2022,7,13,3,The Rooftop at Pier 17,New York,NY,10038,1,0
5 Seconds of Summer,3794381,2022,7,18,1,Andrew J Brady ICON Music Center,Cincinnati,OH,45202,0,0
5 Seconds of Summer,3794383,2022,7,24,7,Saint Louis Music Park,Maryland Heights,MO,63043,0,0
Adele,105081779,2022,1,21,5,Caesars Palace,Las Vegas,NV,89109,0,1
Adele,105080396,2022,1,22,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080409,2022,1,28,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080422,2022,1,29,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105079712,2022,2,4,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080404,2022,2,5,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080400,2022,2,11,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080441,2022,2,12,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105081727,2022,2,25,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080363,2022,2,26,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080364,2022,3,4,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080408,2022,3,5,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105079713,2022,3,11,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080440,2022,3,12,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080365,2022,3,18,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105080419,2022,3,19,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105079680,2022,3,25,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105081733,2022,3,26,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105123082,2022,4,1,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105123084,2022,4,2,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105122667,2022,4,8,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105122668,2022,4,9,6,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105122669,2022,4,15,5,Caesars Palace,Las Vegas,NV,89109,1,1
Adele,105122670,2022,4,16,6,Caesars Palace,Las Vegas,NV,89109,1,0
Aerosmith,104566949,2022,9,8,4,Fenway Park,Boston,MA,02215,0,0
Air Supply,105044153,2022,3,5,6,King Center for the Performing Arts,Melbourne,FL,32935,0,0
Air Supply,105041446,2022,3,8,2,Blue Note Hawaii,Honolulu,HI,96815,0,1
Air Supply,105040491,2022,3,9,3,Blue Note Hawaii,Honolulu,HI,96815,1,1
Air Supply,105041447,2022,3,11,5,Blue Note Hawaii,Honolulu,HI,96815,1,1
