Artist Name,Stubhub ID,Year,Month,Date,DayOfWeek,Name,City,State,ZipCode,Cons1,Cons2
311,103289112,2018,3,5,1,House of Blues San Diego,San Diego,CA,92101,0,1
311,103289115,2018,3,6,2,House of Blues San Diego,San Diego,CA,92101,1,0
311,103166902,2018,3,10,6,Dolby Live at Park MGM,Las Vegas,NV,89109,0,1
311,103166903,2018,3,11,7,Dolby Live at Park MGM,Las Vegas,NV,89109,1,0
311,103305442,2018,4,19,4,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
311,103315175,2018,4,20,5,Ogden Theatre,Denver,CO,80218,0,0
311,103580956,2018,7,23,1,Grand Sierra Theatre,Reno,NV,89595,0,0
311,103565138,2018,7,25,3,Shoreline Amphitheatre - CA,Mountain View,CA,94043,0,0
311,103565287,2018,7,27,5,Usana Amphitheatre,Salt Lake City,UT,84118,0,0
311,103565430,2018,7,28,6,Downtown Las Vegas - DLV Events Center,Las Vegas,NV,89101,0,0
311,103565539,2018,7,29,7,North Island Credit Union Amphitheatre,Chula Vista,CA,91911,0,0
311,103565548,2018,7,31,2,Ak-Chin Pavilion,Phoenix,AZ,85035,0,0
311,103565594,2018,8,2,4,OKC Zoo Amphitheatre,Oklahoma City,OK,73111,0,0
311,103565661,2018,8,4,6,Germania Insurance Amphitheater,Del Valle,TX,78617,0,0
311,103565662,2018,8,5,7,Cynthia Woods Mitchell Pavilion,The Woodlands,TX,77380,0,0
311,103565663,2018,8,7,2,Dailys Place Amphitheater,Jacksonville,FL,32202,0,0
311,103565664,2018,8,8,3,PNC Music Pavilion,Charlotte,NC,28262,0,0
311,103565665,2018,8,10,5,Penns Landing Festival Pier,Philadelphia,PA,19123,0,0
311,103565666,2018,8,11,6,Bank of New Hampshire Pavilion,Gilford,NH,3249,0,0
311,103565667,2018,8,12,7,St. Josephs Health Amphitheater at Lakeview,Syracuse,NY,13209,0,0
311,103565668,2018,8,14,2,Freedom Hill Amphitheater,Sterling Heights,MI,48312,0,0
311,103569507,2018,8,15,3,Illinois State Fairgrounds,Springfield,IL,62706,0,0
311,103670970,2018,8,16,4,KEMBA LIVE!,Columbus,OH,43215,0,0
311,103565670,2018,8,21,2,Xfinity Theatre,Hartford,CT,6120,0,0
311,103565671,2018,8,22,3,PNC Bank Arts Center,Holmdel,NJ,7733,0,0
311,103565672,2018,8,24,5,Bethel Woods Center For The Arts,Bethel,NY,12720,0,0
311,103565673,2018,8,25,6,Northwell Health at Jones Beach Theater,Wantagh,NY,11793,0,0
311,103565674,2018,8,26,7,Jiffy Lube Live,Bristow,VA,20136,0,0
311,103565675,2018,8,29,3,Allentown Fairgrounds,Allentown,PA,18104,0,0
311,103570771,2018,8,31,5,Minnesota State Fair,Saint Paul,MN,55108,0,0
311,103569042,2018,9,1,6,Battery Park at Hard Rock Hotel and Casino,Sioux City,IA,51101,0,0
311,103565676,2018,9,3,1,Hollywood Casino Amphitheatre St Louis,Maryland Heights,MO,63043,0,0
311,103565681,2018,9,4,2,Rose Music Center at The Heights,Huber Heights,OH,45424,0,0
311,103565684,2018,9,6,4,Huntington Bank Pavilion at Northerly Island,Chicago,IL,60605,0,0
311,103570950,2018,9,8,6,WinStar World Casino,Thackerville,OK,73459,0,0
311,103571161,2018,9,9,7,Intrust Bank Arena,Wichita,KS,67202,0,0
311,103663422,2018,9,11,2,Pikes Peak Center,Colorado Springs,CO,80903,0,0
311,103661713,2018,9,13,4,Gerald Ford Amphitheatre,Vail,CO,81658,0,0
311,103965659,2019,4,18,4,Ogden Theatre,Denver,CO,80218,0,0
311,103951400,2019,4,19,5,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
311,103958826,2019,4,20,6,Aggie Theater,Fort Collins,CO,80524,0,0
311,104088509,2019,5,18,6,Innsbrook After Hours,Glen Allen,VA,23060,0,0
311,104086219,2019,7,2,2,Rose Music Center at The Heights,Huber Heights,OH,45424,0,0
311,104091021,2019,7,3,3,Soaring Eagle Casino and Resort,Mount Pleasant,MI,48858,0,0
311,104078695,2019,7,5,5,Pine Knob Music Theatre,Clarkston,MI,48348,0,0
311,104078696,2019,7,6,6,Hollywood Casino Amphitheatre Chicago,Tinley Park,IL,60477,0,0
311,104087501,2019,7,7,7,Bayfront Festival Park,Duluth,MN,55803,0,0
311,104193895,2019,7,9,2,The Rave-Eagles Club,Milwaukee,WI,53233,0,0
311,104085367,2019,7,10,3,Azura Amphitheater,Bonner Springs,KS,66012,0,0
311,104078698,2019,7,12,5,Ruoff Home Mortgage Music Center,Noblesville,IN,46060,0,0
311,104086424,2019,7,13,6,The Pavilion at Star Lake,Burgettstown,PA,15021,0,0
311,104079046,2019,7,14,7,Xfinity Theatre,Hartford,CT,6120,0,0
311,104079558,2019,7,18,4,Xfinity Center - MA,Mansfield,MA,2048,0,0
311,104126074,2019,7,19,5,The Met Philadelphia,Philadelphia,PA,19130,0,0
311,104086425,2019,7,20,6,Darien Lake Performing Arts Center,Darien Center,NY,14040,0,0
311,104078702,2019,7,23,2,Bank of New Hampshire Pavilion,Gilford,NH,3249,0,0
311,104087149,2019,7,24,3,PNC Bank Arts Center,Holmdel,NJ,7733,0,0
311,104078082,2019,7,26,5,Northwell Health at Jones Beach Theater,Wantagh,NY,11793,0,0
311,104079560,2019,7,27,6,Merriweather Post Pavilion,Columbia,MD,21044,0,0
311,104087084,2019,7,28,7,Coastal Credit Union Music Park at Walnut Creek,Raleigh,NC,27610,0,0
311,104079946,2019,7,30,2,Cadence Bank Amphitheatre at Chastain Park,Atlanta,GA,30342,0,0
311,104085374,2019,7,31,3,Credit One Stadium,Charleston,SC,29492,0,0
311,104086214,2019,8,2,5,iTHINK Financial Amphitheatre,West Palm Beach,FL,33411,0,0
311,104087145,2019,8,3,6,MidFlorida Credit Union Amphitheatre at the Florida State Fair Grounds,Tampa,FL,33610,0,0
311,104091110,2019,8,4,7,Dailys Place Amphitheater,Jacksonville,FL,32202,0,0
311,104078704,2019,8,6,2,White Oak Music Hall,Houston,TX,77009,0,0
311,104087030,2019,8,7,3,Germania Insurance Amphitheater,Del Valle,TX,78617,0,0
311,104078705,2019,8,8,4,Pavilion at Toyota Music Factory,Irving,TX,75039,0,0
311,104086430,2019,8,10,6,Ak-Chin Pavilion,Phoenix,AZ,85035,0,0
311,104086247,2019,8,11,7,North Island Credit Union Amphitheatre,Chula Vista,CA,91911,0,0
311,104085380,2019,8,16,5,Heart Health Park,Sacramento,CA,95815,0,0
311,104087121,2019,8,17,6,Portland Memorial Coliseum,Portland,OR,97227,0,0
311,104087058,2019,8,18,7,White River Amphitheatre,Auburn,WA,98092,0,0
311,104077774,2019,8,20,2,Usana Amphitheatre,Salt Lake City,UT,84118,0,0
311,104410311,2019,12,12,4,The Pageant,St. Louis,MO,63112,0,0
311,104321527,2019,12,15,7,Byline Bank Aragon Ballroom,Chicago,IL,60640,0,0
311,104478016,2020,2,20,4,Fillmore New Orleans,New Orleans,LA,70130,0,1
311,104479299,2020,2,21,5,Fillmore New Orleans,New Orleans,LA,70130,1,0
311,104519189,2020,2,22,6,Golden Nugget - Lake Charles,Lake Charles,LA,70601,0,0
311,104520085,2020,3,5,4,McMenamins Crystal Ballroom,Portland,OR,97209,0,0
311,104523274,2020,3,6,5,Revolution Concert House and Event Center,Garden City,ID,83714,0,0
311,104516893,2020,3,7,6,Grand Sierra Theatre,Reno,NV,89595,0,0
311,104369400,2020,3,11,3,Dolby Live at Park MGM,Las Vegas,NV,89109,0,1
311,104370106,2020,3,12,4,Dolby Live at Park MGM,Las Vegas,NV,89109,1,1
311,104369402,2020,3,13,5,Dolby Live at Park MGM,Las Vegas,NV,89109,1,0
311,104850378,2021,8,21,6,Waterfront Music Pavilion,Camden,NJ,8103,0,0
311,104851325,2021,8,24,2,Hartford HealthCare Amphitheater,Bridgeport,CT,6604,0,0
311,104851273,2021,8,26,4,Thompsons Point,Portland,ME,4102,0,0
311,104849974,2021,8,28,6,Leader Bank Pavilion,Boston,MA,2210,0,0
311,104851274,2021,8,29,7,PNC Bank Arts Center,Holmdel,NJ,7733,0,0
311,104851323,2021,8,31,2,Long Island Community Hospital Amphitheater,Farmingville,NY,11738,0,0
311,104850379,2021,9,1,3,Pier Six Pavilion,Baltimore,MD,21202,0,0
311,104849975,2021,9,2,4,Veterans United Home Loans Amphitheater at Virginia Beach,Virginia Beach,VA,23456,0,0
311,104851665,2021,9,4,6,Live Oak Bank Pavilion,Wilmington,NC,28401,0,0
311,104849976,2021,9,7,2,TCU Amphitheater at White River State Park,Indianapolis,IN,46204,0,0
311,104849977,2021,9,8,3,Pinewood Bowl Theater,Lincoln,NE,68522,0,0
311,104851275,2021,9,10,5,Huntington Bank Pavilion at Northerly Island,Chicago,IL,60605,0,0
311,104852024,2021,9,12,7,The Ledge Waite Park Amphitheater,Waite Park,MN,56387,0,0
311,104850780,2021,9,15,3,Saint Louis Music Park,Maryland Heights,MO,63043,0,0
311,104850380,2021,9,16,4,Freedom Hill Amphitheater,Sterling Heights,MI,48312,0,0
311,104851276,2021,9,18,6,Jacobs Pavilion at Nautica,Cleveland,OH,44113,0,0
311,104851335,2021,9,19,7,ICON Festival Stage,Cincinnati,OH,45202,0,0
311,104849979,2021,9,21,2,Ameris Bank Amphitheatre,Alpharetta,GA,30009,0,0
311,104851277,2021,9,22,3,Dailys Place Amphitheater,Jacksonville,FL,32202,0,0
311,104850386,2021,9,24,5,iTHINK Financial Amphitheatre,West Palm Beach,FL,33411,0,0
311,104851278,2021,9,25,6,MidFlorida Credit Union Amphitheatre at the Florida State Fair Grounds,Tampa,FL,33610,0,0
311,104849980,2021,9,29,3,Pavilion at Toyota Music Factory,Irving,TX,75039,0,0
311,104852244,2021,9,30,4,Crossroads KC at Grinders,Kansas City,MO,64108,0,0
311,104850406,2021,10,2,6,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
311,104849981,2021,10,3,7,Isleta Amphitheater,Albuquerque,NM,87105,0,0
311,104849982,2021,10,5,2,Usana Amphitheatre,Salt Lake City,UT,84118,0,0
311,104850381,2021,10,7,4,Hayden Homes Amphitheater,Bend,OR,97702,0,0
311,104851279,2021,10,8,5,WaMu Theater - Seattle,Seattle,WA,98134,0,0
311,104851341,2021,10,10,7,Heart Health Park,Sacramento,CA,95815,0,0
311,104849983,2021,10,13,3,Ak-Chin Pavilion,Phoenix,AZ,85035,0,0
311,104849984,2021,10,15,5,FivePoint Amphitheatre,Irvine,CA,92618,0,0
311,104849985,2021,10,16,6,North Island Credit Union Amphitheatre,Chula Vista,CA,91911,0,0
311,104849986,2021,10,17,7,Greek Theatre - Berkeley,Berkeley,CA,94720,0,0
311,104960574,2021,10,29,5,Fox Theatre Boulder,Boulder,CO,80303,0,0
311,104959710,2021,10,30,6,Ogden Theatre,Denver,CO,80218,0,0
311,104959711,2021,10,31,7,Stanley Hotel,Estes Park,CO,80517,0,0
311,105175560,2022,3,6,7,Vilar Performing Arts Center,Avon,CO,81620,0,0
311,105177370,2022,3,7,1,Belly Up Aspen,Aspen,CO,81611,0,0
311,105175570,2022,3,15,2,JJ's Beer Garden,Fayetteville,AR,72703,0,0
